conduit_id,edge_index,from_node,to_node,from_index,to_index,length_m,diameter_m,slope,roughness_n,shape,max_flow_capacity_m3s,from_invert_elev_m,to_invert_elev_m,head_drop_m,hydraulic_slope,full_velocity_m_s,full_capacity_m3_s
C_J_KUK_001_J_KUK_002,0,J_KUK_001,J_KUK_002,0,1,2930.27,0.9,0.001,0.015,CIRCULAR,0.5,558.53,556.86,1.67,0.00057,0.59,0.38
C_J_KUK_002_J_KUK_003,1,J_KUK_002,J_KUK_003,1,2,2934.37,1.01,0.001,0.015,CIRCULAR,0.67,556.86,555.81,1.05,0.0005,0.6,0.48
C_J_KUK_003_J_KUK_004,2,J_KUK_003,J_KUK_004,2,3,2185.14,1.11,0.00117,0.015,CIRCULAR,0.95,555.81,553.26,2.55,0.00117,0.97,0.94
C_J_KUK_004_J_KUK_005,3,J_KUK_004,J_KUK_005,3,4,1519.92,1.22,0.00125,0.015,CIRCULAR,1.25,553.26,551.36,1.9,0.00125,1.07,1.25
C_J_KUK_005_J_KUK_006,4,J_KUK_005,J_KUK_006,4,5,607.98,1.33,0.00334,0.015,CIRCULAR,2.55,551.36,549.33,2.03,0.00334,1.85,2.57
C_J_KUK_006_J_KUK_007,5,J_KUK_006,J_KUK_007,5,6,598.73,1.43,0.00494,0.015,CIRCULAR,3.82,549.33,546.37,2.96,0.00494,2.36,3.79
C_J_KUK_007_J_KUK_008,6,J_KUK_007,J_KUK_008,6,7,793.2,1.54,0.00156,0.015,CIRCULAR,2.6,546.37,545.13,1.24,0.00156,1.39,2.59
C_J_KUK_008_J_KUK_009,7,J_KUK_008,J_KUK_009,7,8,2364.57,1.65,0.001,0.025,CIRCULAR,1.49,545.13,542.82,2.31,0.00098,0.69,1.48
C_J_KUK_009_J_KUK_010,8,J_KUK_009,J_KUK_010,8,9,1892.06,1.75,0.001,0.025,CIRCULAR,1.76,542.82,542.23,0.59,0.0005,0.52,1.25
C_J_KUK_010_J_KUK_011,9,J_KUK_010,J_KUK_011,9,10,1793.72,1.86,0.00116,0.025,CIRCULAR,2.22,542.23,540.15,2.08,0.00116,0.82,2.23
C_J_KUK_011_J_KUK_012,10,J_KUK_011,J_KUK_012,10,11,2189.27,1.97,0.001,0.025,CIRCULAR,2.39,540.15,539.31,0.84,0.0005,0.56,1.71
C_J_KUK_012_J_KUK_013,11,J_KUK_012,J_KUK_013,11,12,1868.32,2.07,0.001,0.025,RECT_CLOSED,2.76,539.31,537.52,1.79,0.00096,0.8,2.69
C_J_KUK_013_J_KUK_014,12,J_KUK_013,J_KUK_014,12,13,659.58,2.18,0.00193,0.025,RECT_CLOSED,4.37,537.52,536.25,1.27,0.00193,1.17,4.37
