year,node_id,zone,impervious_pct,pervious_pct,runoff_coefficient,horton_f0_mm_hr,horton_finf_mm_hr,horton_decay_k
2010,J_KUK_001,Kukatpally Nala Basin,52.79,47.21,0.546,45.41,6.72,3.5
2011,J_KUK_001,Kukatpally Nala Basin,53.5,46.5,0.551,44.88,6.65,3.5
2012,J_KUK_001,Kukatpally Nala Basin,54.49,45.51,0.559,44.13,6.55,3.5
2013,J_KUK_001,Kukatpally Nala Basin,55.87,44.13,0.569,43.1,6.41,3.5
2014,J_KUK_001,Kukatpally Nala Basin,57.69,42.31,0.583,41.73,6.23,3.5
2015,J_KUK_001,Kukatpally Nala Basin,60.0,40.0,0.6,40.0,6.0,3.5
2016,J_KUK_001,Kukatpally Nala Basin,62.78,37.22,0.621,37.91,5.72,3.5
2017,J_KUK_001,Kukatpally Nala Basin,65.9,34.1,0.644,35.57,5.41,3.5
2018,J_KUK_001,Kukatpally Nala Basin,69.15,30.85,0.669,33.14,5.09,3.5
2019,J_KUK_001,Kukatpally Nala Basin,72.27,27.73,0.692,30.8,4.77,3.5
2020,J_KUK_001,Kukatpally Nala Basin,75.05,24.95,0.713,28.71,4.5,3.5
2021,J_KUK_001,Kukatpally Nala Basin,77.36,22.64,0.73,26.98,4.26,3.5
2022,J_KUK_001,Kukatpally Nala Basin,79.18,20.82,0.744,25.61,4.08,3.5
2023,J_KUK_001,Kukatpally Nala Basin,80.56,19.44,0.754,24.58,3.94,3.5
2024,J_KUK_001,Kukatpally Nala Basin,81.55,18.45,0.762,23.84,3.84,3.5
2025,J_KUK_001,Kukatpally Nala Basin,82.26,17.74,0.767,23.31,3.77,3.5
2010,J_KUK_002,Kukatpally Nala Basin,54.77,45.23,0.561,43.92,6.52,3.5
2011,J_KUK_002,Kukatpally Nala Basin,55.4,44.6,0.565,43.45,6.46,3.5
2012,J_KUK_002,Kukatpally Nala Basin,56.28,43.72,0.572,42.79,6.37,3.5
2013,J_KUK_002,Kukatpally Nala Basin,57.51,42.49,0.581,41.87,6.25,3.5
2014,J_KUK_002,Kukatpally Nala Basin,59.13,40.87,0.593,40.65,6.09,3.5
2015,J_KUK_002,Kukatpally Nala Basin,61.19,38.81,0.609,39.11,5.88,3.5
2016,J_KUK_002,Kukatpally Nala Basin,63.67,36.33,0.628,37.25,5.63,3.5
2017,J_KUK_002,Kukatpally Nala Basin,66.45,33.55,0.648,35.16,5.36,3.5
2018,J_KUK_002,Kukatpally Nala Basin,69.34,30.66,0.67,33.0,5.07,3.5
2019,J_KUK_002,Kukatpally Nala Basin,72.12,27.88,0.691,30.91,4.79,3.5
2020,J_KUK_002,Kukatpally Nala Basin,74.59,25.41,0.709,29.05,4.54,3.5
2021,J_KUK_002,Kukatpally Nala Basin,76.66,23.34,0.725,27.51,4.33,3.5
2022,J_KUK_002,Kukatpally Nala Basin,78.28,21.72,0.737,26.29,4.17,3.5
2023,J_KUK_002,Kukatpally Nala Basin,79.5,20.5,0.746,25.37,4.05,3.5
2024,J_KUK_002,Kukatpally Nala Basin,80.39,19.61,0.753,24.71,3.96,3.5
2025,J_KUK_002,Kukatpally Nala Basin,81.02,18.98,0.758,24.24,3.9,3.5
2010,J_KUK_003,Kukatpally Nala Basin,51.39,48.61,0.535,46.46,6.86,3.5
2011,J_KUK_003,Kukatpally Nala Basin,52.06,47.94,0.54,45.96,6.79,3.5
2012,J_KUK_003,Kukatpally Nala Basin,53.0,47.0,0.547,45.25,6.7,3.5
2013,J_KUK_003,Kukatpally Nala Basin,54.29,45.71,0.557,44.28,6.57,3.5
2014,J_KUK_003,Kukatpally Nala Basin,56.01,43.99,0.57,43.0,6.4,3.5
2015,J_KUK_003,Kukatpally Nala Basin,58.19,41.81,0.586,41.36,6.18,3.5
2016,J_KUK_003,Kukatpally Nala Basin,60.81,39.19,0.606,39.39,5.92,3.5
2017,J_KUK_003,Kukatpally Nala Basin,63.75,36.25,0.628,37.19,5.62,3.5
2018,J_KUK_003,Kukatpally Nala Basin,66.81,33.19,0.651,34.89,5.32,3.5
2019,J_KUK_003,Kukatpally Nala Basin,69.75,30.25,0.673,32.69,5.03,3.5
2020,J_KUK_003,Kukatpally Nala Basin,72.37,27.63,0.693,30.72,4.76,3.5
2021,J_KUK_003,Kukatpally Nala Basin,74.55,25.45,0.709,29.08,4.54,3.5
2022,J_KUK_003,Kukatpally Nala Basin,76.27,23.73,0.722,27.8,4.37,3.5
2023,J_KUK_003,Kukatpally Nala Basin,77.56,22.44,0.732,26.83,4.24,3.5
2024,J_KUK_003,Kukatpally Nala Basin,78.5,21.5,0.739,26.12,4.15,3.5
2025,J_KUK_003,Kukatpally Nala Basin,79.17,20.83,0.744,25.62,4.08,3.5
2010,J_KUK_004,Kukatpally Nala Basin,50.97,49.03,0.532,46.78,6.9,3.5
2011,J_KUK_004,Kukatpally Nala Basin,51.71,48.29,0.538,46.22,6.83,3.5
2012,J_KUK_004,Kukatpally Nala Basin,52.75,47.25,0.546,45.44,6.72,3.5
2013,J_KUK_004,Kukatpally Nala Basin,54.19,45.81,0.556,44.36,6.58,3.5
2014,J_KUK_004,Kukatpally Nala Basin,56.1,43.9,0.571,42.93,6.39,3.5
2015,J_KUK_004,Kukatpally Nala Basin,58.52,41.48,0.589,41.11,6.15,3.5
2016,J_KUK_004,Kukatpally Nala Basin,61.44,38.56,0.611,38.92,5.86,3.5
2017,J_KUK_004,Kukatpally Nala Basin,64.71,35.29,0.635,36.47,5.53,3.5
2018,J_KUK_004,Kukatpally Nala Basin,68.11,31.89,0.661,33.92,5.19,3.5
2019,J_KUK_004,Kukatpally Nala Basin,71.38,28.62,0.685,31.47,4.86,3.5
2020,J_KUK_004,Kukatpally Nala Basin,74.29,25.71,0.707,29.28,4.57,3.5
2021,J_KUK_004,Kukatpally Nala Basin,76.72,23.28,0.725,27.46,4.33,3.5
2022,J_KUK_004,Kukatpally Nala Basin,78.63,21.37,0.74,26.03,4.14,3.5
2023,J_KUK_004,Kukatpally Nala Basin,80.06,19.94,0.75,24.95,3.99,3.5
2024,J_KUK_004,Kukatpally Nala Basin,81.11,18.89,0.758,24.17,3.89,3.5
2025,J_KUK_004,Kukatpally Nala Basin,81.85,18.15,0.764,23.61,3.82,3.5
2010,J_KUK_005,Kukatpally Nala Basin,54.04,45.96,0.555,44.47,6.6,3.5
2011,J_KUK_005,Kukatpally Nala Basin,54.7,45.3,0.56,43.98,6.53,3.5
2012,J_KUK_005,Kukatpally Nala Basin,55.62,44.38,0.567,43.28,6.44,3.5
2013,J_KUK_005,Kukatpally Nala Basin,56.89,43.11,0.577,42.33,6.31,3.5
2014,J_KUK_005,Kukatpally Nala Basin,58.59,41.41,0.589,41.06,6.14,3.5
2015,J_KUK_005,Kukatpally Nala Basin,60.74,39.26,0.606,39.45,5.93,3.5
2016,J_KUK_005,Kukatpally Nala Basin,63.32,36.68,0.625,37.51,5.67,3.5
2017,J_KUK_005,Kukatpally Nala Basin,66.21,33.79,0.647,35.34,5.38,3.5
2018,J_KUK_005,Kukatpally Nala Basin,69.23,30.77,0.669,33.08,5.08,3.5
2019,J_KUK_005,Kukatpally Nala Basin,72.12,27.88,0.691,30.91,4.79,3.5
2020,J_KUK_005,Kukatpally Nala Basin,74.7,25.3,0.71,28.97,4.53,3.5
2021,J_KUK_005,Kukatpally Nala Basin,76.85,23.15,0.726,27.36,4.31,3.5
2022,J_KUK_005,Kukatpally Nala Basin,78.54,21.46,0.739,26.09,4.15,3.5
2023,J_KUK_005,Kukatpally Nala Basin,79.82,20.18,0.749,25.14,4.02,3.5
2024,J_KUK_005,Kukatpally Nala Basin,80.74,19.26,0.756,24.44,3.93,3.5
2025,J_KUK_005,Kukatpally Nala Basin,81.4,18.6,0.76,23.95,3.86,3.5
2010,J_KUK_006,Kukatpally Nala Basin,50.77,49.23,0.531,46.92,6.92,3.5
2011,J_KUK_006,Kukatpally Nala Basin,51.53,48.47,0.536,46.36,6.85,3.5
2012,J_KUK_006,Kukatpally Nala Basin,52.59,47.41,0.544,45.56,6.74,3.5
2013,J_KUK_006,Kukatpally Nala Basin,54.05,45.95,0.555,44.46,6.59,3.5
2014,J_KUK_006,Kukatpally Nala Basin,56.0,44.0,0.57,43.0,6.4,3.5
2015,J_KUK_006,Kukatpally Nala Basin,58.47,41.53,0.589,41.15,6.15,3.5
2016,J_KUK_006,Kukatpally Nala Basin,61.44,38.56,0.611,38.92,5.86,3.5
2017,J_KUK_006,Kukatpally Nala Basin,64.77,35.23,0.636,36.42,5.52,3.5
