node_id,node_index,zone,latitude,longitude,ground_elevation_m,invert_elevation_m,max_depth_m,subcatchment_area_ha,is_outfall,catchment_slope_pct,depression_storage_mm,impervious_pct_current,runoff_coefficient
J_KUK_001,0,Kukatpally Nala Basin,17.301236,78.440221,562.23,558.53,3.7,4.03,0,1.62,2.59,82.26,0.767
J_KUK_002,1,Kukatpally Nala Basin,17.29468,78.413443,560.57,556.86,3.7,11.2,0,3.35,2.66,81.02,0.758
J_KUK_003,2,Kukatpally Nala Basin,17.290618,78.440797,558.73,555.81,2.92,4.36,0,2.7,1.61,79.17,0.744
J_KUK_004,3,Kukatpally Nala Basin,17.295502,78.420827,556.62,553.26,3.36,5.79,0,2.3,2.04,81.85,0.764
J_KUK_005,4,Kukatpally Nala Basin,17.308356,78.415885,554.59,551.36,3.23,7.93,0,0.97,1.67,81.4,0.76
J_KUK_006,5,Kukatpally Nala Basin,17.313555,78.41769,553.01,549.33,3.68,2.6,0,0.97,2.79,82.23,0.767
J_KUK_007,6,Kukatpally Nala Basin,17.308226,78.416816,550.77,546.37,4.4,14.55,0,0.67,2.43,79.58,0.747
J_KUK_008,7,Kukatpally Nala Basin,17.314252,78.420838,549.0,545.13,3.87,7.72,0,3.1,2.0,79.28,0.745
J_KUK_009,8,Kukatpally Nala Basin,17.293661,78.426555,547.13,542.82,4.32,5.36,0,2.3,1.6,80.62,0.755
J_KUK_010,9,Kukatpally Nala Basin,17.309876,78.421051,545.82,542.23,3.59,4.4,0,2.62,1.97,79.76,0.748
J_KUK_011,10,Kukatpally Nala Basin,17.319088,78.434954,544.44,540.15,4.29,9.77,0,0.56,1.99,79.24,0.744
J_KUK_012,11,Kukatpally Nala Basin,17.317656,78.414355,541.9,539.31,2.59,6.23,0,3.41,2.59,80.01,0.75
J_KUK_013,12,Kukatpally Nala Basin,17.30166,78.41984,540.73,537.52,3.21,5.65,0,3.0,2.46,81.65,0.762
J_KUK_014,13,Kukatpally Nala Basin,17.306281,78.415928,538.9,536.25,2.65,14.83,0,1.14,2.83,80.55,0.754
