time_min,time_hr,intensity_mm_hr,incremental_depth_mm,cumulative_depth_mm,return_period_yr,total_duration_hr
0.0,0.0,0.472,0.008,0.008,2,24.0
1.0,0.017,0.473,0.008,0.016,2,24.0
2.0,0.033,0.474,0.008,0.024,2,24.0
3.0,0.05,0.475,0.008,0.032,2,24.0
4.0,0.067,0.475,0.008,0.039,2,24.0
5.0,0.083,0.476,0.008,0.047,2,24.0
6.0,0.1,0.477,0.008,0.055,2,24.0
7.0,0.117,0.478,0.008,0.063,2,24.0
8.0,0.133,0.478,0.008,0.071,2,24.0
9.0,0.15,0.479,0.008,0.079,2,24.0
10.0,0.167,0.48,0.008,0.087,2,24.0
11.0,0.183,0.481,0.008,0.095,2,24.0
12.0,0.2,0.481,0.008,0.103,2,24.0
13.0,0.217,0.482,0.008,0.111,2,24.0
14.0,0.233,0.483,0.008,0.119,2,24.0
15.0,0.25,0.484,0.008,0.127,2,24.0
16.0,0.267,0.484,0.008,0.136,2,24.0
17.0,0.283,0.485,0.008,0.144,2,24.0
18.0,0.3,0.486,0.008,0.152,2,24.0
19.0,0.317,0.487,0.008,0.16,2,24.0
20.0,0.333,0.488,0.008,0.168,2,24.0
21.0,0.35,0.488,0.008,0.176,2,24.0
22.0,0.367,0.489,0.008,0.184,2,24.0
23.0,0.383,0.49,0.008,0.192,2,24.0
24.0,0.4,0.491,0.008,0.201,2,24.0
25.0,0.417,0.492,0.008,0.209,2,24.0
26.0,0.433,0.492,0.008,0.217,2,24.0
27.0,0.45,0.493,0.008,0.225,2,24.0
28.0,0.467,0.494,0.008,0.233,2,24.0
29.0,0.483,0.495,0.008,0.242,2,24.0
30.0,0.5,0.496,0.008,0.25,2,24.0
31.0,0.517,0.496,0.008,0.258,2,24.0
32.0,0.533,0.497,0.008,0.267,2,24.0
33.0,0.55,0.498,0.008,0.275,2,24.0
34.0,0.567,0.499,0.008,0.283,2,24.0
35.0,0.583,0.5,0.008,0.291,2,24.0
36.0,0.6,0.501,0.008,0.3,2,24.0
37.0,0.617,0.501,0.008,0.308,2,24.0
38.0,0.633,0.502,0.008,0.317,2,24.0
39.0,0.65,0.503,0.008,0.325,2,24.0
40.0,0.667,0.504,0.008,0.333,2,24.0
41.0,0.683,0.505,0.008,0.342,2,24.0
42.0,0.7,0.506,0.008,0.35,2,24.0
43.0,0.717,0.507,0.008,0.359,2,24.0
44.0,0.733,0.507,0.008,0.367,2,24.0
45.0,0.75,0.508,0.008,0.376,2,24.0
46.0,0.767,0.509,0.008,0.384,2,24.0
47.0,0.783,0.51,0.009,0.393,2,24.0
48.0,0.8,0.511,0.009,0.401,2,24.0
49.0,0.817,0.512,0.009,0.41,2,24.0
50.0,0.833,0.513,0.009,0.418,2,24.0
51.0,0.85,0.514,0.009,0.427,2,24.0
52.0,0.867,0.514,0.009,0.435,2,24.0
53.0,0.883,0.515,0.009,0.444,2,24.0
54.0,0.9,0.516,0.009,0.452,2,24.0
55.0,0.917,0.517,0.009,0.461,2,24.0
56.0,0.933,0.518,0.009,0.47,2,24.0
57.0,0.95,0.519,0.009,0.478,2,24.0
58.0,0.967,0.52,0.009,0.487,2,24.0
59.0,0.983,0.521,0.009,0.496,2,24.0
60.0,1.0,0.522,0.009,0.504,2,24.0
61.0,1.017,0.523,0.009,0.513,2,24.0
62.0,1.033,0.524,0.009,0.522,2,24.0
63.0,1.05,0.524,0.009,0.531,2,24.0
64.0,1.067,0.525,0.009,0.539,2,24.0
65.0,1.083,0.526,0.009,0.548,2,24.0
66.0,1.1,0.527,0.009,0.557,2,24.0
67.0,1.117,0.528,0.009,0.566,2,24.0
68.0,1.133,0.529,0.009,0.575,2,24.0
69.0,1.15,0.53,0.009,0.583,2,24.0
70.0,1.167,0.531,0.009,0.592,2,24.0
71.0,1.183,0.532,0.009,0.601,2,24.0
72.0,1.2,0.533,0.009,0.61,2,24.0
73.0,1.217,0.534,0.009,0.619,2,24.0
74.0,1.233,0.535,0.009,0.628,2,24.0
75.0,1.25,0.536,0.009,0.637,2,24.0
76.0,1.267,0.537,0.009,0.646,2,24.0
77.0,1.283,0.538,0.009,0.655,2,24.0
78.0,1.3,0.539,0.009,0.664,2,24.0
79.0,1.317,0.54,0.009,0.673,2,24.0
80.0,1.333,0.541,0.009,0.682,2,24.0
81.0,1.35,0.542,0.009,0.691,2,24.0
82.0,1.367,0.543,0.009,0.7,2,24.0
83.0,1.383,0.544,0.009,0.709,2,24.0
84.0,1.4,0.545,0.009,0.718,2,24.0
85.0,1.417,0.546,0.009,0.727,2,24.0
86.0,1.433,0.547,0.009,0.736,2,24.0
87.0,1.45,0.548,0.009,0.745,2,24.0
88.0,1.467,0.549,0.009,0.754,2,24.0
89.0,1.483,0.55,0.009,0.763,2,24.0
90.0,1.5,0.551,0.009,0.773,2,24.0
91.0,1.517,0.552,0.009,0.782,2,24.0
92.0,1.533,0.553,0.009,0.791,2,24.0
93.0,1.55,0.554,0.009,0.8,2,24.0
94.0,1.567,0.555,0.009,0.81,2,24.0
95.0,1.583,0.556,0.009,0.819,2,24.0
96.0,1.6,0.557,0.009,0.828,2,24.0
97.0,1.617,0.558,0.009,0.837,2,24.0
98.0,1.633,0.559,0.009,0.847,2,24.0
99.0,1.65,0.561,0.009,0.856,2,24.0
100.0,1.667,0.562,0.009,0.865,2,24.0
101.0,1.683,0.563,0.009,0.875,2,24.0
102.0,1.7,0.564,0.009,0.884,2,24.0
103.0,1.717,0.565,0.009,0.894,2,24.0
104.0,1.733,0.566,0.009,0.903,2,24.0
105.0,1.75,0.567,0.009,0.913,2,24.0
106.0,1.767,0.568,0.009,0.922,2,24.0
107.0,1.783,0.569,0.009,0.932,2,24.0
108.0,1.8,0.57,0.01,0.941,2,24.0
109.0,1.817,0.572,0.01,0.951,2,24.0
110.0,1.833,0.573,0.01,0.96,2,24.0
111.0,1.85,0.574,0.01,0.97,2,24.0
112.0,1.867,0.575,0.01,0.979,2,24.0
113.0,1.883,0.576,0.01,0.989,2,24.0
114.0,1.9,0.577,0.01,0.998,2,24.0
115.0,1.917,0.578,0.01,1.008,2,24.0
116.0,1.933,0.58,0.01,1.018,2,24.0
117.0,1.95,0.581,0.01,1.027,2,24.0
118.0,1.967,0.582,0.01,1.037,2,24.0
119.0,1.983,0.583,0.01,1.047,2,24.0
120.0,2.0,0.584,0.01,1.057,2,24.0
121.0,2.017,0.585,0.01,1.066,2,24.0
122.0,2.033,0.587,0.01,1.076,2,24.0
123.0,2.05,0.588,0.01,1.086,2,24.0
124.0,2.067,0.589,0.01,1.096,2,24.0
125.0,2.083,0.59,0.01,1.106,2,24.0
126.0,2.1,0.591,0.01,1.115,2,24.0
127.0,2.117,0.593,0.01,1.125,2,24.0
128.0,2.133,0.594,0.01,1.135,2,24.0
129.0,2.15,0.595,0.01,1.145,2,24.0
130.0,2.167,0.596,0.01,1.155,2,24.0
131.0,2.183,0.598,0.01,1.165,2,24.0
132.0,2.2,0.599,0.01,1.175,2,24.0
133.0,2.217,0.6,0.01,1.185,2,24.0
134.0,2.233,0.601,0.01,1.195,2,24.0
135.0,2.25,0.603,0.01,1.205,2,24.0
136.0,2.267,0.604,0.01,1.215,2,24.0
137.0,2.283,0.605,0.01,1.225,2,24.0
138.0,2.3,0.606,0.01,1.235,2,24.0
139.0,2.317,0.608,0.01,1.245,2,24.0
140.0,2.333,0.609,0.01,1.256,2,24.0
141.0,2.35,0.61,0.01,1.266,2,24.0
